cg;engine16_1;engine25;engine34_1;engine34_2;engine25_2;engine16_2;ACAI
3,0;0,1;0,1;0,1;0,1;0,1;0,1;-24,95
3,01;0,1;0,1;0,1;0,1;0,1;0,1;-23,73
3,02;0,1;0,1;0,1;0,1;0,1;0,1;-22,52
3,03;0,1;0,1;0,1;0,1;0,1;0,1;-21,31
3,04;0,1;0,1;0,1;0,1;0,1;0,1;-20,09
3,05;0,1;0,1;0,1;0,1;0,1;0,1;-18,88
3,06;0,1;0,1;0,1;0,1;0,1;0,1;-17,66
3,07;0,1;0,1;0,1;0,1;0,1;0,1;-16,45
3,08;0,1;0,1;0,1;0,1;0,1;0,1;-15,24
3,09;0,1;0,1;0,1;0,1;0,1;0,1;-14,02
3,1;0,1;0,1;0,1;0,1;0,1;0,1;-12,81
3,11;0,1;0,1;0,1;0,1;0,1;0,1;-11,59
3,12;0,1;0,1;0,1;0,1;0,1;0,1;-10,38
3,13;0,1;0,1;0,1;0,1;0,1;0,1;-9,17
3,14;0,1;0,1;0,1;0,1;0,1;0,1;-7,95
3,15;0,1;0,1;0,1;0,1;0,1;0,1;-6,74
3,16;0,1;0,1;0,1;0,1;0,1;0,1;-5,52
3,17;0,1;0,1;0,1;0,1;0,1;0,1;-4,31
3,18;0,1;0,1;0,1;0,1;0,1;0,1;-3,1
3,19;0,1;0,1;0,1;0,1;0,1;0,1;-1,88
3,2;0,1;0,1;0,1;0,1;0,1;0,1;-0,67
3,21;0,1;0,1;0,1;0,1;0,1;0,1;-0,55
3,22;0,1;0,1;0,1;0,1;0,1;0,1;-1,76
3,23;0,1;0,1;0,1;0,1;0,1;0,1;-2,97
3,24;0,1;0,1;0,1;0,1;0,1;0,1;-4,19
3,25;0,1;0,1;0,1;0,1;0,1;0,1;-5,4
3,26;0,1;0,1;0,1;0,1;0,1;0,1;-6,62
3,27;0,1;0,1;0,1;0,1;0,1;0,1;-7,83
3,2800000000000002;0,1;0,1;0,1;0,1;0,1;0,1;-9,04
3,29;0,1;0,1;0,1;0,1;0,1;0,1;-10,26
3,3;0,1;0,1;0,1;0,1;0,1;0,1;-11,47
